Comparison,Z,P.unadj,P.adj
0_hour - 1_week,0.7126966450997984,0.47603349294242964,0.7650538279431905
0_hour - 12_hour,1.0987005311470714,0.27189871081964845,0.5826400946135324
1_week - 12_hour,0.19720265943665385,0.8436689495519664,0.9259781153619143
0_hour - 12_week,-0.6546536707079772,0.5126907602619233,0.7690361403928849
1_week - 12_week,-1.5275252316519468,0.12663045794761718,0.3561481629776733
12_hour - 12_week,-2.5980762113533165,0.009374768459434872,0.21093229033728464
0_hour - 2_week,-0.2545875386086577,0.7990416848676247,0.9219711748472592
1_week - 2_week,-1.1274590995526272,0.25954842387471283,0.5839839537181039
12_hour - 2_week,-1.9932330722022795,0.04623593122376849,0.26007711313369775
12_week - 2_week,0.5657789498610039,0.5715440578908229,0.7793782607602129
0_hour - 30_hour,0.545544725589981,0.5853789284609614,0.77476622884539
1_week - 30_hour,-0.3273268353539886,0.7434206976952524,0.8803666156917462
12_hour - 30_hour,-0.7835467939002065,0.4333060860899735,0.7499528413095695
12_week - 30_hour,1.697336849583011,0.089632994267889,0.3361237285045837
2_week - 30_hour,1.131557899722007,0.2578203483008489,0.6106271407125368
0_hour - 4_week,-0.7200822998230956,0.47147432485128993,0.7857905414188165
1_week - 4_week,-1.543033499620919,0.12282264810139258,0.36846794430417773
12_hour - 4_week,-2.4367664409685816,0.014819247548739978,0.22228871323109967
12_week - 4_week,-0.13801311186847084,0.8902300549434975,0.931636104010637
2_week - 4_week,-0.6440611887195308,0.5195357565124527,0.7541648078406571
30_hour - 4_week,-1.6561573424216502,0.09768995934615685,0.33815755158285066
0_hour - 6_hour,0.8451542547285166,0.39802471950693774,0.716444495112488
1_week - 6_hour,-0.0563436169819011,0.9550680726736845,0.97677416523445
12_hour - 6_hour,-0.4008918628686366,0.6884997410966343,0.8606246763707928
12_week - 6_hour,2.2269224668742713,0.025952456022374476,0.23357210420137028
2_week - 6_hour,1.6220793277232344,0.1047863638240336,0.3368133122915366
30_hour - 6_hour,0.41239304942116134,0.6800513568290708,0.8743517444945197
4_week - 6_hour,2.1094396056145928,0.03490665390008667,0.22439991792912858
0_hour - 6_week,-0.253546276418555,0.7998461056624733,0.8998268688702824
1_week - 6_week,-1.1550441481289726,0.2480723480064572,0.620180870016143
12_hour - 6_week,-2.138089935299395,0.032509444645719525,0.24382083484289643
12_week - 6_week,0.618589574131742,0.5361867719001738,0.7540126479846194
2_week - 6_week,0.013746434980705182,0.9890322771822329,0.9890322771822329
30_hour - 6_week,-1.195939843321368,0.23172003531625956,0.6133765640724518
4_week - 6_week,0.6910233190806425,0.4895508867733574,0.7596479277517615
6_hour - 6_week,-1.7371980724307585,0.0823522150528067,0.3705849677376301
0_hour - 8_week,-0.8743856497851875,0.3819082696390715,0.7472118319025312
1_week - 8_week,-1.697336849583011,0.089632994267889,0.36668043109590953
12_hour - 8_week,-2.6549843312045738,0.0079312092434183409,0.3569044159538253
12_week - 8_week,-0.3450327796711771,0.7300697275800421,0.8879226416514026
2_week - 8_week,-0.8510808565222371,0.39472443876593727,0.7401083226861324
30_hour - 8_week,-1.8631770102243566,0.06243736625547253,0.3121868312773627
4_week - 8_week,-0.1889822365046136,0.8501067391385257,0.9108286490769918
6_hour - 8_week,-2.3276574958505853,0.01993029779905644,0.22421585023938492
6_week - 8_week,-0.9092412093166349,0.3632228159942474,0.7429557599882333
